run,stratum,MAE,DirAcc,n_obs
dramt_lam1_2,news,0.03432961320504546,0.5072617248152125,22610
dramt_lam1_2,no_news,0.02684165397658944,0.5743421052631579,390
dramt_lam1_5,news,0.03343693166971207,0.517640336379545,22610
dramt_lam1_5,no_news,0.026448631193488836,0.6053947368421053,390
dramt_rank,news,0.033093908336013556,0.5477528637489538,22610
dramt_rank,no_news,0.02732137031853199,0.6107894736842105,390
dramt_rank_only,news,0.03349731024354696,0.4830461186867192,22610
dramt_rank_only,no_news,0.030553807504475117,0.309078947368421,390
dramt_riskonly,news,0.03353958576917648,0.5087251907052501,22610
dramt_riskonly,no_news,0.02712185075506568,0.7675,390
dramt_seed42,news,0.034121616277843714,0.5393811329314926,22610
dramt_seed42,no_news,0.027590843848884106,0.6085526315789473,390
dramt_seed43,news,0.03304162248969078,0.5440970560801652,22610
dramt_seed43,no_news,0.027649027295410633,0.6032894736842105,390
dramt_seed44,news,0.03325350768864155,0.5519517354389109,22610
dramt_seed44,no_news,0.026730960234999657,0.5768421052631578,390
dramt_seed45,news,0.03518043830990791,0.5134454267373411,22610
dramt_seed45,no_news,0.02711200388148427,0.5848684210526316,390
dramt_seed46,news,0.03461526334285736,0.5027214428222404,22610
dramt_seed46,no_news,0.02686230279505253,0.6307894736842106,390
dramt_seed47,news,0.0331574147567153,0.5463559537798668,22610
dramt_seed47,no_news,0.028190607205033302,0.6111842105263158,390
dramt_seed48,news,0.03586792992427945,0.49136360101108306,22610
dramt_seed48,no_news,0.026492915581911802,0.6032894736842105,390
dramt_seed49,news,0.03396058548241854,0.5429864019477719,22610
dramt_seed49,no_news,0.028529842384159565,0.7056578947368422,390
dramt_seed50,news,0.03314500441774726,0.5539683620905861,22610
dramt_seed50,no_news,0.02521976549178362,0.7557894736842106,390
dramt_seed51,news,0.033427960239350796,0.5499531521668681,22610
dramt_seed51,no_news,0.027598281856626272,0.6032894736842105,390
dramt_t,news,0.03312772139906883,0.5462634592678384,22610
dramt_t,no_news,0.02632778976112604,0.5922368421052632,390
dramt_t_garch,news,0.03348372830078006,0.5558208427382653,22610
dramt_t_garch,no_news,0.025830172933638096,0.5932894736842106,390
