run,dropped_fold,MAE,DirAcc,VaRBreach
ablation_numerical_only_s43,none,0.03677745908498764,0.5138260869565218,0.07391304347826087
ablation_numerical_only_s43,0,0.03533343722422918,0.5234202898550725,0.09855072463768116
ablation_numerical_only_s43,1,0.03922360638777415,0.49026086956521736,0.07246376811594203
ablation_numerical_only_s43,2,0.03699523086349169,0.5036521739130435,0.0463768115942029
ablation_numerical_only_s43,3,0.03555756186445554,0.5379710144927536,0.0782608695652174
ablation_numerical_only_s44,none,0.03379885386675596,0.545304347826087,0.1
ablation_numerical_only_s44,0,0.03567749261856079,0.5097391304347826,0.11594202898550725
ablation_numerical_only_s44,1,0.03452585513393084,0.5572173913043478,0.09855072463768116
ablation_numerical_only_s44,2,0.03293102979660034,0.5486376811594204,0.08405797101449275
ablation_numerical_only_s44,3,0.03206103791793188,0.5656231884057972,0.10144927536231885
ablation_numerical_only_s45,none,0.033230303321033716,0.5610869565217391,0.08260869565217392
ablation_numerical_only_s45,0,0.035482616474231087,0.5255652173913044,0.09565217391304348
ablation_numerical_only_s45,1,0.03439191170036793,0.5549565217391305,0.07246376811594203
ablation_numerical_only_s45,2,0.03221990975240866,0.5670144927536231,0.06086956521739129
ablation_numerical_only_s45,3,0.03082677535712719,0.5968115942028985,0.10144927536231885
ablation_numerical_only_s46,none,0.03320027748122811,0.5400869565217391,0.08695652173913043
ablation_numerical_only_s46,0,0.03544616140425205,0.5082898550724638,0.1072463768115942
ablation_numerical_only_s46,1,0.034223424891630806,0.5262608695652174,0.08695652173913043
ablation_numerical_only_s46,2,0.03204969627161821,0.5393623188405797,0.057971014492753624
ablation_numerical_only_s46,3,0.031081827357411385,0.5864347826086956,0.09565217391304348
ablation_perm_macro_s42,none,0.03288596449419856,0.5529565217391303,0.09347826086956522
ablation_perm_macro_s42,0,0.03509469951192538,0.5292753623188405,0.12173913043478261
ablation_perm_macro_s42,1,0.03389068009952704,0.5488695652173913,0.09565217391304348
ablation_perm_macro_s42,2,0.03166202393670877,0.5586666666666666,0.06376811594202898
ablation_perm_macro_s42,3,0.030896454428633053,0.5750144927536232,0.0927536231884058
ablation_perm_macro_s43,none,0.03762482013553381,0.5181304347826087,0.07173913043478261
ablation_perm_macro_s43,0,0.034794130673011146,0.5390144927536232,0.09565217391304348
ablation_perm_macro_s43,1,0.040342386811971664,0.496,0.06666666666666667
ablation_perm_macro_s43,2,0.038097698241472244,0.5101449275362319,0.05507246376811594
ablation_perm_macro_s43,3,0.037265064815680184,0.5273623188405797,0.06956521739130435
ablation_perm_macro_s44,none,0.032946609891951084,0.5526521739130436,0.10434782608695652
ablation_perm_macro_s44,0,0.035584804912408195,0.5118840579710145,0.1246376811594203
ablation_perm_macro_s44,1,0.03347287947932879,0.5685217391304348,0.10434782608695652
ablation_perm_macro_s44,2,0.031800338377555214,0.556,0.08405797101449275
ablation_perm_macro_s44,3,0.030928416798512142,0.5742028985507247,0.10434782608695652
