run,horizon,MAE,null_MAE,oracle_drift_MAE,mean_pred,mean_actual,n_obs,beats_null
ablation_no_sentiment_s46,9,0.04502830281853676,0.044423654675483704,0.04373978078365326,0.014902050606906414,0.005948053207248449,2300,False
ablation_no_sentiment_s46,10,0.047462787479162216,0.04693780466914177,0.04614844545722008,0.015752963721752167,0.006491753738373518,2300,False
ablation_numerical_only_s42,1,0.01425663847476244,0.01386623177677393,0.013836405239999294,0.0019121849909424782,0.0007494936580769718,2300,False
ablation_numerical_only_s42,2,0.020772017538547516,0.020612254738807678,0.020535385236144066,0.003996116574853659,0.00138772779610008,2300,False
ablation_numerical_only_s42,3,0.0254024937748909,0.02542862668633461,0.025290384888648987,0.005580198485404253,0.0021548259537667036,2300,True
ablation_numerical_only_s42,4,0.029398180544376373,0.029436659067869186,0.02925657480955124,0.0070608388632535934,0.002847495721653104,2300,True
ablation_numerical_only_s42,5,0.0328122079372406,0.032922785729169846,0.03267541527748108,0.008388328365981579,0.0035679801367223263,2300,True
ablation_numerical_only_s42,6,0.035953231155872345,0.03617163002490997,0.0358055979013443,0.009549122303724289,0.004151492845267057,2300,True
ablation_numerical_only_s42,7,0.03877320513129234,0.039120111614465714,0.038658902049064636,0.01030824426561594,0.00470747472718358,2300,True
ablation_numerical_only_s42,8,0.04131171852350235,0.04183616489171982,0.04128556698560715,0.011839660815894604,0.005358648020774126,2300,True
ablation_numerical_only_s42,9,0.04382620006799698,0.044423654675483704,0.04373978078365326,0.012791120447218418,0.005948053207248449,2300,True
ablation_numerical_only_s42,10,0.04622019827365875,0.04693780466914177,0.04614844545722008,0.013988146558403969,0.006491753738373518,2300,True
ablation_numerical_only_s43,1,0.018242796882987022,0.01386623177677393,0.013836405239999294,-0.0058471402153372765,0.0007494936580769718,2300,False
ablation_numerical_only_s43,2,0.02431127429008484,0.020612254738807678,0.020535385236144066,-0.005059320945292711,0.00138772779610008,2300,False
ablation_numerical_only_s43,3,0.02921082265675068,0.02542862668633461,0.025290384888648987,-0.00463546859100461,0.0021548259537667036,2300,False
ablation_numerical_only_s43,4,0.03326692432165146,0.029436659067869186,0.02925657480955124,-0.0038652934599667788,0.002847495721653104,2300,False
ablation_numerical_only_s43,5,0.03667045012116432,0.032922785729169846,0.03267541527748108,-0.003265546401962638,0.0035679801367223263,2300,False
ablation_numerical_only_s43,6,0.0398508682847023,0.03617163002490997,0.0358055979013443,-0.0025625950656831264,0.004151492845267057,2300,False
ablation_numerical_only_s43,7,0.042816877365112305,0.039120111614465714,0.038658902049064636,-0.001788496389053762,0.00470747472718358,2300,False
ablation_numerical_only_s43,8,0.0453256294131279,0.04183616489171982,0.04128556698560715,-0.0009608526015654206,0.005358648020774126,2300,False
ablation_numerical_only_s43,9,0.04783099144697189,0.044423654675483704,0.04373978078365326,-0.00041479337960481644,0.005948053207248449,2300,False
ablation_numerical_only_s43,10,0.050247956067323685,0.04693780466914177,0.04614844545722008,0.0003767886373680085,0.006491753738373518,2300,False
ablation_numerical_only_s44,1,0.014875601045787334,0.01386623177677393,0.013836405239999294,0.000475061300676316,0.0007494936580769718,2300,False
ablation_numerical_only_s44,2,0.021537449210882187,0.020612254738807678,0.020535385236144066,0.0018529481021687388,0.00138772779610008,2300,False
ablation_numerical_only_s44,3,0.026244977489113808,0.02542862668633461,0.025290384888648987,0.002956493990495801,0.0021548259537667036,2300,False
ablation_numerical_only_s44,4,0.03029041364789009,0.029436659067869186,0.02925657480955124,0.00430374126881361,0.002847495721653104,2300,False
ablation_numerical_only_s44,5,0.0337991900742054,0.032922785729169846,0.03267541527748108,0.0054603335447609425,0.0035679801367223263,2300,False
ablation_numerical_only_s44,6,0.036993253976106644,0.03617163002490997,0.0358055979013443,0.006280445493757725,0.004151492845267057,2300,False
ablation_numerical_only_s44,7,0.039855826646089554,0.039120111614465714,0.038658902049064636,0.007110262289643288,0.00470747472718358,2300,False
ablation_numerical_only_s44,8,0.042339105159044266,0.04183616489171982,0.04128556698560715,0.008251354098320007,0.005358648020774126,2300,False
ablation_numerical_only_s44,9,0.04477321356534958,0.044423654675483704,0.04373978078365326,0.009500160813331604,0.005948053207248449,2300,False
ablation_numerical_only_s44,10,0.04727950692176819,0.04693780466914177,0.04614844545722008,0.010492580011487007,0.006491753738373518,2300,False
ablation_numerical_only_s45,1,0.014156579971313477,0.01386623177677393,0.013836405239999294,0.0010228664614260197,0.0007494936580769718,2300,False
ablation_numerical_only_s45,2,0.02071840688586235,0.020612254738807678,0.020535385236144066,0.002422311110422015,0.00138772779610008,2300,False
ablation_numerical_only_s45,3,0.025455500930547714,0.02542862668633461,0.025290384888648987,0.0030415598303079605,0.0021548259537667036,2300,False
ablation_numerical_only_s45,4,0.029459891840815544,0.029436659067869186,0.02925657480955124,0.003949480131268501,0.002847495721653104,2300,False
ablation_numerical_only_s45,5,0.03304241597652435,0.032922785729169846,0.03267541527748108,0.004631118383258581,0.0035679801367223263,2300,False
ablation_numerical_only_s45,6,0.03635014221072197,0.03617163002490997,0.0358055979013443,0.005364894866943359,0.004151492845267057,2300,False
ablation_numerical_only_s45,7,0.039550766348838806,0.039120111614465714,0.038658902049064636,0.006620719097554684,0.00470747472718358,2300,False
ablation_numerical_only_s45,8,0.042089883238077164,0.04183616489171982,0.04128556698560715,0.008110514841973782,0.005358648020774126,2300,False
ablation_numerical_only_s45,9,0.04459264501929283,0.044423654675483704,0.04373978078365326,0.009122949093580246,0.005948053207248449,2300,False
ablation_numerical_only_s45,10,0.046886809170246124,0.04693780466914177,0.04614844545722008,0.009640726260840893,0.006491753738373518,2300,True
ablation_numerical_only_s46,1,0.01458711363375187,0.01386623177677393,0.013836405239999294,0.0012183318613097072,0.0007494936580769718,2300,False
ablation_numerical_only_s46,2,0.020872576162219048,0.020612254738807678,0.020535385236144066,0.003117079846560955,0.00138772779610008,2300,False
ablation_numerical_only_s46,3,0.02569790557026863,0.02542862668633461,0.025290384888648987,0.004490382503718138,0.0021548259537667036,2300,False
ablation_numerical_only_s46,4,0.029762009158730507,0.029436659067869186,0.02925657480955124,0.005854364950209856,0.002847495721653104,2300,False
ablation_numerical_only_s46,5,0.033201590180397034,0.032922785729169846,0.03267541527748108,0.007043855264782906,0.0035679801367223263,2300,False
ablation_numerical_only_s46,6,0.03631084784865379,0.03617163002490997,0.0358055979013443,0.008032264187932014,0.004151492845267057,2300,False
ablation_numerical_only_s46,7,0.039237506687641144,0.039120111614465714,0.038658902049064636,0.009269044734537601,0.00470747472718358,2300,False
ablation_numerical_only_s46,8,0.04180443286895752,0.04183616489171982,0.04128556698560715,0.010709733702242374,0.005358648020774126,2300,True
ablation_numerical_only_s46,9,0.04412233456969261,0.044423654675483704,0.04373978078365326,0.011359955184161663,0.005948053207248449,2300,True
ablation_numerical_only_s46,10,0.04640644043684006,0.04693780466914177,0.04614844545722008,0.012046542018651962,0.006491753738373518,2300,True
ablation_perm_macro_s42,1,0.014139245264232159,0.01386623177677393,0.013836405239999294,0.001504019252024591,0.0007494936580769718,2300,False
ablation_perm_macro_s42,2,0.020644988864660263,0.020612254738807678,0.020535385236144066,0.003147260518744588,0.00138772779610008,2300,False
ablation_perm_macro_s42,3,0.025403715670108795,0.02542862668633461,0.025290384888648987,0.00432249391451478,0.0021548259537667036,2300,True
ablation_perm_macro_s42,4,0.02943902648985386,0.029436659067869186,0.02925657480955124,0.005744133610278368,0.002847495721653104,2300,False
ablation_perm_macro_s42,5,0.03285245597362518,0.032922785729169846,0.03267541527748108,0.006950490176677704,0.0035679801367223263,2300,True
ablation_perm_macro_s42,6,0.03597090765833855,0.03617163002490997,0.0358055979013443,0.007564024534076452,0.004151492845267057,2300,True
ablation_perm_macro_s42,7,0.038850534707307816,0.039120111614465714,0.038658902049064636,0.008767085149884224,0.00470747472718358,2300,True
ablation_perm_macro_s42,8,0.041404686868190765,0.04183616489171982,0.04128556698560715,0.00986134447157383,0.005358648020774126,2300,True
ablation_perm_macro_s42,9,0.04388464242219925,0.044423654675483704,0.04373978078365326,0.011206365190446377,0.005948053207248449,2300,True
ablation_perm_macro_s42,10,0.04626945033669472,0.04693780466914177,0.04614844545722008,0.011984813958406448,0.006491753738373518,2300,True
ablation_perm_macro_s43,1,0.018448160961270332,0.01386623177677393,0.013836405239999294,-0.002919246908277273,0.0007494936580769718,2300,False
ablation_perm_macro_s43,2,0.024661105126142502,0.020612254738807678,0.020535385236144066,-0.002342597348615527,0.00138772779610008,2300,False
